
﻿0	ANDROID_WEAR	ch.publisheria.bring	27	16	0	18	8	0	3	18	0
﻿2	ANDROID_WEAR	com.acmeaom.android.myradar	26	15	1	14	14	1	2	15	0
4	ANDROID_WEAR	com.adi.remote.phone	25	16	1	9	6	1	0	10	0
5	ANDROID_WEAR	com.aircanada	24	19	1	12	14	1	3	13	0
6	ANDROID_WEAR	com.amdroidalarmclock.amdroid	27	14	23	26	5	23	1	49	1
7	ANDROID_WEAR	com.android2.calculator3	25	14	1	1	2	1	0	2	0
9	ANDROID_WEAR	com.balysv.loop	27	16	0	23	19	0	3	23	0
10	ANDROID_WEAR	com.baseapp.eyeem	26	15	2	12	6	2	4	14	0
11	ANDROID_WEAR	com.bitdefender.security	25	15	2	25	26	2	0	27	1
13	ANDROID_WEAR	com.musicplayer.player.mp3player.white	25	16	5	0	11	5	0	5	0
15	ANDROID_WEAR	com.nest.android	27	19	2	32	25	2	4	34	1
16	ANDROID_WEAR	com.northpark.drinkwater	24	16	0	29	16	0	0	29	0
18	ANDROID_WEAR	com.opl.transitnow	25	14	1	13	15	1	3	14	0
19	ANDROID_WEAR	com.overdrive.mobile.android.mediaconsole	27	14	3	6	4	3	2	9	1
20	ANDROID_WEAR	com.pelmorex.WeatherEyeAndroid	25	21	4	24	12	4	2	28	1
21	ANDROID_WEAR	com.SearingMedia.Parrot	27	19	12	0	8	12	2	12	0
22	ANDROID_WEAR	com.shazam.android	27	21	5	10	11	5	2	15	0
23	ANDROID_WEAR	com.sillens.shapeupclub	27	19	0	18	4	0	0	18	0
24	ANDROID_WEAR	com.spotify.music	19	9	2	10	39	2	0	12	0
25	ANDROID_WEAR	com.strava	25	19	1	19	17	1	3	20	1
26	ANDROID_WEAR	com.stronglifts.app	26	21	1	10	6	1	0	11	0
27	ANDROID_WEAR	com.stubhub	27	21	0	16	10	0	3	16	0
29	ANDROID_WEAR	com.google.android.apps.authenticator2	23	10	0	2	0	0	0	2	0
31	ANDROID_WEAR	com.google.android.apps.fitness	26	16	2	31	10	2	2	33	0
32	ANDROID_WEAR	com.google.android.apps.handwriting.ime	25	15	1	3	7	1	0	4	0
﻿34	ANDROID_WEAR	com.google.android.apps.translate	24	17	2	8	8	2	1	10	0
35	ANDROID_WEAR	com.google.android.apps.walletnfcrel	25	21	0	46	10	0	0	46	0
36	ANDROID_WEAR	com.google.android.calculator	26	21	0	0	3	0	0	0	0
37	ANDROID_WEAR	com.google.android.deskclock	26	19	2	5	4	2	1	7	0
38	ANDROID_WEAR	com.google.android.gm	28	16	3	65	23	3	2	68	0
40	ANDROID_WEAR	com.google.android.keep	26	21	0	26	4	0	0	26	0
41	ANDROID_WEAR	com.tinybyteapps.robyte	27	21	0	9	7	0	3	9	0
43	ANDROID_WEAR	com.ua.record	25	19	5	34	41	5	0	39	1
45	ANDROID_WEAR	com.urbandroid.lux	21	14	3	1	12	3	1	4	1
47	ANDROID_WEAR	com.viber.voip	26	16	2	21	18	2	5	23	0
48	ANDROID_WEAR	com.VirtualMaze.gpsutils	25	21	0	18	15	0	1	18	0
49	ANDROID_WEAR	com.whatsapp	25	10	5	18	26	5	0	23	1
50	ANDROID_WEAR	com.wunderkinder.wunderlistandroid	23	16	0	14	13	0	0	14	0
51	ANDROID_WEAR	com.yammer.v1	26	19	0	9	4	0	0	9	0
52	ANDROID_WEAR	com.zumper.rentals	27	21	0	23	5	0	0	23	0
53	ANDROID_WEAR	de.komoot.android	27	21	4	32	38	4	1	36	0
54	ANDROID_WEAR	de.stocard.stocard	25	16	0	21	9	0	3	21	0
55	ANDROID_WEAR	fm.player	25	14	5	18	46	5	1	23	0
56	ANDROID_WEAR	org.telegram.messenger	27	23	8	15	8	8	4	23	1
57	ANDROID_WEAR	pl.lawiusz.funnyweather.release	27	19	2	14	12	2	3	16	1
58	ANDROID_WEAR	slide.watchFrenzy	25	14	0	8	4	0	0	8	0
59	ANDROID_WEAR	thecouponsapp.coupon	25	14	0	52	21	0	3	52	0
60	ANDROID_WEAR	xyz.klinker.messenger	28	21	15	33	16	15	13	48	1
61	ANDROID_WEAR	com.callapp.contacts	21	16	3	19	13	3	2	22	0
62	ANDROID_WEAR	com.google.android.marvin.talkback	26	21	1	2	1	1	0	3	0
63	ANDROID_WEAR	com.microsoft.skydrive	27	21	5	23	20	5	12	28	0
64	ANDROID_WEAR	com.google.android.music	28	16	1	23	9	1	14	24	0
65	ANDROID_WEAR	com.google.android.talk	25	16	2	22	16	2	0	24	0
66	ART_AND_DESIGN	air.com.KalromSystems.SandDrawLite	23	9	3	-1	16	3	0	2	0
67	ANDROID_WEAR	com.gotokeep.keep.intl	26	16	3	9	7	3	1	12	0
69	ART_AND_DESIGN	co.pamobile.pokemon.cardmaker	24	16	0	4	4	0	0	4	0
70	ART_AND_DESIGN	co.pamobile.yugioh.cardmaker	26	16	0	5	5	0	3	5	0
71	ART_AND_DESIGN	com.aak.drawfood	26	9	0	0	10	0	0	0	0
72	ART_AND_DESIGN	com.abizard.btswallpaper	25	14	0	8	6	0	0	8	0
73	ART_AND_DESIGN	com.adobe.comp	24	19	1	3	2	1	0	4	0
74	ART_AND_DESIGN	com.adobe.creativeapps.sketch	26	21	1	7	6	1	3	8	0
75	ART_AND_DESIGN	com.ai.viewer.illustrator	26	21	0	4	4	0	3	4	0
76	ART_AND_DESIGN	com.AndyFront.JerkyMotion	26	16	0	1	0	0	0	1	0
77	ART_AND_DESIGN	com.app.dwyt	23	11	3	-3	12	3	0	0	0
78	ART_AND_DESIGN	com.app.wye	23	11	3	-3	12	3	0	0	0
79	ART_AND_DESIGN	com.app.wyn	23	11	3	-3	12	3	0	0	0
80	ART_AND_DESIGN	com.app.wyt	23	11	3	-3	12	3	0	0	0
81	ART_AND_DESIGN	com.jurassic.livewallpaper	22	16	0	5	7	0	3	5	0
82	ART_AND_DESIGN	com.kidscoloringbook.android	26	15	0	1	0	0	0	1	0
83	ART_AND_DESIGN	com.kidspaint.kaushalmehra.drawingfun	26	15	0	0	3	0	3	0	0
84	ART_AND_DESIGN	com.laura.fashiondesign	23	17	0	0	3	0	0	0	0
85	ART_AND_DESIGN	com.learnddrawin.howtodrawnaruto	18	9	0	0	4	0	0	0	0
86	ART_AND_DESIGN	com.madcat.easyposer	26	16	0	1	3	0	1	1	0
87	ART_AND_DESIGN	com.mark.calligraphy	24	14	0	3	5	0	0	3	0
88	ART_AND_DESIGN	com.medibang.android.paint.tablet	24	16	0	2	9	0	3	2	0
89	ART_AND_DESIGN	com.meltinglogic.pixly	22	9	2	-2	10	2	0	0	0
90	ART_AND_DESIGN	ca.qc.mbam.mobile	24	19	0	6	3	0	0	6	0
91	ART_AND_DESIGN	codeadore.textgram	26	14	0	12	4	0	0	12	0
92	ART_AND_DESIGN	com.adobe.spark.post	27	21	0	1	3	0	2	1	0
93	ART_AND_DESIGN	com.apps.wallpaperhd.power.rangers	26	14	0	0	1	0	0	0	0
94	ART_AND_DESIGN	com.membklece.girlsskin	26	17	0	2	4	0	0	2	0
95	ART_AND_DESIGN	com.minimal.pokewallpapers	27	15	0	0	2	0	0	0	0
96	ART_AND_DESIGN	com.mom.kids.wallpper1	23	11	0	0	7	0	0	0	0
97	ART_AND_DESIGN	com.nixsensor.duluxcanada	27	19	0	4	2	0	1	4	0
98	ART_AND_DESIGN	com.number.coloring.apps.pixel.paint	25	16	0	0	2	0	0	0	0
99	ART_AND_DESIGN	com.onetap.bit8painter	26	14	3	7	11	3	3	10	0
100	ART_AND_DESIGN	com.photoediting.no.crop.square.emojiandtext	26	15	0	0	3	0	3	0	0
101	ART_AND_DESIGN	com.picsart.animate	25	15	0	3	9	0	0	3	0
102	ART_AND_DESIGN	com.pixelart.coloringbook.colorbynumber	26	19	0	9	4	0	3	9	0
103	ART_AND_DESIGN	com.Playrion.AirlinesPainter	27	16	0	0	2	0	3	0	0
104	ART_AND_DESIGN	com.proj.minecraftendermanskins	25	15	0	0	0	0	0	0	0
105	ART_AND_DESIGN	com.psd.viewer	26	21	0	4	3	0	3	4	0
106	ART_AND_DESIGN	com.saadderaiya.MS_Paint	22	14	0	2	22	0	3	2	0
107	ART_AND_DESIGN	com.safin.cartoon.ukar	22	15	0	2	6	0	0	2	0
108	ART_AND_DESIGN	com.sandbox.coloring.numbercoloring.game.free	22	9	0	4	4	0	0	4	0
109	ART_AND_DESIGN	com.sandbox.numbercoloring.pixelart	27	19	0	5	1	0	0	5	0
110	ART_AND_DESIGN	com.ccapp.wheelsss	24	14	0	7	6	0	0	7	0
111	ART_AND_DESIGN	com.colorfun.pixelart.colorbynumber.coloring.colorpixel.free	27	16	0	0	3	0	3	0	0
112	ART_AND_DESIGN	com.creative.colorfit.mandala.coloring.book	22	15	0	3	2	0	0	3	0
113	ART_AND_DESIGN	com.creative.Learn.to.draw.flowers	22	15	0	2	4	0	0	2	0
114	ART_AND_DESIGN	com.creato.poly.art.coloring.puzzle.games	27	9	3	-3	14	3	0	0	0
115	ART_AND_DESIGN	com.crone.skinsforminecraftpe	26	16	0	7	15	0	3	7	0
116	ART_AND_DESIGN	com.digitalenergy.ambigramstudio	24	15	0	2	4	0	0	2	0
117	ART_AND_DESIGN	com.diytech.drawsignature	25	16	0	0	2	0	0	0	0
118	ART_AND_DESIGN	com.dp.canada.day.profile.pic.frame	23	14	0	2	2	0	0	2	0
119	ART_AND_DESIGN	com.e3games.numbercoloring.pixelart	27	19	0	5	1	0	0	5	0
120	ART_AND_DESIGN	com.eyewind.paperone	26	15	0	0	1	0	0	0	0
121	ART_AND_DESIGN	com.fashion.tattoo.name.my.photo.editor	25	16	0	1	2	0	0	1	0
122	ART_AND_DESIGN	com.figuromo.colorminiscollections	26	19	1	10	10	1	3	11	0
